Name,Date,Duration,Where,Category,Genres,Country,Venue,Visitors,Price(s.f.),Total_revenue
Rockfor Animal Rights Festival,2022-07-15,2,outdoor,Rock,"Hardcore(Metal)
Metal
Rock",LowerSaxony,"Tierrechtszentrum Sandstedt Offenwarden Hauptstraße1 Sandstedt Offenwarden, DE 27628",1000,60.0,60000.0
Am Meer Festival,2022-07-15,2,indoor,Electronicmusic,"Dance
Electro
Trance",Mecklenburg-Western-Pomerania,"Helgas Stadtpalast Am Vögenteich19, Rostock, DE 18057",2000,47.85,95700.0
Zappanale Festival,2022-07-15,3,outdoor,Mixed,"Art&culture
Pop
Rock",Mecklenburg-Western-Pomerania,"Galopprennbahn Bad Doberan, DE 18209",8000,285.0,2280000.0
Tagam Meer Festival,2022-07-15,2,outdoor,Electronicmusic,"Electro
House
Trance",Mecklenburg-Western-Pomerania,"Jugendherberge Proramit Zeltplatz Nordstrand507–509 Prora, DE 18609",2000,66.1,132200.0
Rockunterm Hünstollen,2022-07-16,1,outdoor,Rock,"Crossover
Hip-Hop
Pop
Punk
Rock
Ska",LowerSaxony,"Grillplatz Holzerode Holzerode, DE 37136",500,8.0,4000.0
Habitat Festival,2022-07-16,2,outdoor,Electronicmusic,"Dance
Electro
House
Trance",Schleswig-Holstein,"Flugplatz Itzehoe/ Hungriger Wolf Hohenlockstedt, DE 25551",5000,85.0,425000.0
Latin Airport Festival,2022-07-16,1,outdoor,Latin,"Dance
Latin",Bavaria,"Flughafen Nürnberg Flughafenstraße100,90411 Nürnberg Nürnberg, DE 90411",12500,40.1,501250.0
Highway To Kell Open Air Festival,2022-07-16,1,outdoor,Rock,"Metal
Rock",Rhineland-Palatinate,"Festivalwieseander L143/ Am Herrenmarkt Am Herrenmarkt9 Kellam See, DE 54427",2500,22.0,55000.0
Union Move Festival,2022-07-16,1,outdoor,Electronicmusic,"Electro
ElectronicDanceMusic(EDM)
Goa
House
Other
Trance",Northrhine-Westphalia,"Stadtgebiet Mönchengladbach Mönchengladbach, DE 41239",80000,,
Fest Evil Manrode,2022-07-16,1,outdoor,Metal,"Crossover
Germanrock
Gothic
Hardcore(Metal)
Metal
Medieval
Punk
Rock",Northrhine-Westphalia,"Sportplatz Manrode Pfingstanger16 Manrode, DE 34434",500,,
Electric Field Open Air,2022-07-16,2,outdoor,Electronicmusic,"Electro
Goa
Trance",Northrhine-Westphalia,"Event Wiese Lembecker Str.62 Heiden, DE 46359",2500,20.0,50000.0
Bornetobe Loud Festival,2022-07-16,1,outdoor,Metal,Metal,Northrhine-Westphalia,"Bornekampbad Bornekampstraße3 Unna, DE 59423",,,
Open Air Seedorf,2022-07-16,1,outdoor,Metal,"Hardcore(Metal)
Metal
Rock",LowerSaxony,"Barumer Weg Bad Bevensen/ OT Seedorf, DE 29549",700,10.0,7000.0
Donauside Festival,2022-07-16,2,outdoor,Mixed,"Pop
Rock",Saarland,"Schloss Dillingenander Donau Schloßstr.3 Dillingen, DE 89407",1000,35.0,35000.0
Berger Beats Festival,2022-07-16,1,outdoor,Electronicmusic,Electro,Bavaria,"Eichhofenerstraße22 Lorenzenberg, DE 85617",1000,11.0,11000.0
World Bodypainting Festival,2022-07-17,7,outdoor,Art&cultureFestivals,"Electro
Hip-Hop
House
Art&culture
Reggae",Austria,"Theaterplatz Klagenfurt Theaterplatz Klagenfurt, AT 9020",4000,49.0,196000.0
Rockam Stück Open Air Festival,2022-07-21,3,outdoor,Rock,"Metal
Rock",Hesse,"Festivalgelände"" Am Lohrberg"" Fritzlar- Geismar, DE 34560",1500,89.0,133500.0
Deichbrand Festival,2022-07-21,4,outdoor,Mixed,"Germanrock
Electro
Hip-Hop
Metal
Pop
Punk
Rock",LowerSaxony,"Seeflughafen Cuxhaven Walter- Carstens- Straße1 Wurster Nordseeküste, DE 27639",60000,139.0,8340000.0
Open Air Lumnezia,2022-07-21,3,outdoor,Mixed,"Hip-Hop
Metal
Pop
Rock",Switzerland,"Degen, CH 7145",18000,,
Das Fest Karlsruhe,2022-07-21,4,outdoor,Cityfestival,"Electro
Hip-Hop
Pop
Reggae
Rock",Baden-Württemberg,"Günter- Klotz Anlage Karlsruhe, DE 76185",260000,,
Music Forge Festival,2022-07-21,3,outdoor,Rock,"Hip-Hop
Metal
Pop
Punk
Rock
Ska",Hesse,"Waldschwimmbad Lich Alte Gießener Straße Lich, DE 35423",2000,40.0,80000.0
Free& Easy Festival,2022-07-21,18,outdoor,Mixed,"Electro
Reggae
Rock",Bavaria,"Kulturzentrum Backstage München Reitknechtstraße6 München, DE 80639",20000,0.0,0.0
Katapult- Festival,2022-07-21,4,outdoor,Mixed,"Hip-Hop
Jazz
Pop
Punk
Rock",Mecklenburg-Western-Pomerania,"Wilhelm- Holtz- Straße09 Greifswald, DE 17489",,50.0,
Bluesatthe Park Open Air,2022-07-21,1,outdoor,Blues,Blues,Belgium,"Boekenbergpark- Antwerp/ Deurne- Belgium Unitaslaan Antwerpen, BE 2100",250,0.0,0.0
Parookaville Festival,2022-07-22,3,outdoor,Electronicmusic,"Dance
Electro
House
Trance",Northrhine-Westphalia,"Flughafen Weeze Flughafen- Ring1 Weeze, DE 47652",80000,,
